site,sp,dbh
1,Iriartea deltoidea,8.5
1,Coussarea hondensis,9.7
1,Lecythis ampla,15.9
1,Pentaclethra macroloba,41.9
1,Inga jinicuil,12.5
1,Inga jinicuil,6.6
1,Laetia procera,18.1
1,Miconia stevensiana,7.3
1,Sterculia recordiana,6.3
1,Pouteria reticulata,13.4
1,Eugenia selvana,15.7
1,Protium pittieri,6.3
1,Miconia appendiculata,6.4
1,Rauvolfia purpurascens,9.4
1,Rauvolfia purpurascens,8.7
1,Pentaclethra macroloba,38.6
1,Protium panamense,8.7
1,Coussarea talamancana,6.2
1,Carapa nicaraguensis,105.5
1,Posoqueria maxima,5.7
1,Pentaclethra macroloba,59.1
1,Rauvolfia purpurascens,19.5
1,Clethra mexicana,12.4
1,Welfia regia,18.6
1,Prestoea decurrens,5.5
1,Neea amplifolia,5.8
1,Coussarea talamancana,8.6
1,Coussarea talamancana,5.8
1,Pterocarpus rohrii,17.3
1,Annona montana,7.2
1,Henriettea tuberculosa,7
1,Coussarea hondensis,10.5
1,Coussarea hondensis,10.8
1,Pentaclethra macroloba,25.1
1,Pouteria durlandii,7.2
1,Perebea angustifolia,6.7
1,Rauvolfia purpurascens,9.6
1,Rauvolfia purpurascens,12.5
1,Guarea rhopalocarpa,16
1,Welfia regia,13.3
1,Iriartea deltoidea,15.7
1,Virola koschnyi,14.2
1,Virola koschnyi,45.1
1,Swartzia simplex,7.4
1,Ocotea hartshorniana,48.5
1,Protium pittieri,13.7
1,Guarea tonduzii,6.4
1,Inga pezizifera,15.7
1,Eschweilera longirachis,9.7
1,Cordia bicolor,6.3
1,Euterpe precatoria,13.1
1,Protium costaricense,10.1
1,Byrsonima crispa,44.8
1,Lacunaria panamensis,18.3
1,Casearia arborea,18.3
1,Virola sebifera,14.8
1,Psychotria panamensis,13.4
1,Protium glabrum,5.7
1,Faramea parvibractea,9.5
1,Protium costaricense,11.8
1,Psychotria panamensis,7.1
1,Welfia regia,15
1,Welfia regia,15.3
1,Minquartia guianensis,12.3
1,Psychotria panamensis,7.3
1,Capparis pittieri,7.1
1,Tapirira myriantha,66.6
1,Pentaclethra macroloba,112.3
1,Iriartea deltoidea,12.2
1,Dystovomita paniculata,20.7
1,Dystovomita paniculata,6.7
1,Dystovomita paniculata,5.5
1,Capparis pittieri,6.4
1,Ocotea meziana,14.4
1,Tapirira myriantha,53.4
1,Minquartia guianensis,22.8
1,Guarea rhopalocarpa,17.9
1,Pourouma bicolor,9.8
1,Swartzia simplex,6.6
1,Welfia regia,17.8
1,Iriartea deltoidea,17.5
1,Pouteria durlandii,8.5
1,Goethalsia meiantha,13.4
1,Guarea rhopalocarpa,16.3
1,Rauvolfia purpurascens,14.3
1,Cassipourea elliptica,7.1
1,Lecythis ampla,9.6
1,Guarea rhopalocarpa,14.9
1,Rauvolfia purpurascens,7.6
1,Swartzia simplex,5.3
1,Dendropanax arboreus,18.4
1,Perebea hispidula,6.1
1,Minquartia guianensis,25.1
1,Iriartea deltoidea,15.2
1,Iriartea deltoidea,18
1,Pentaclethra macroloba,76.9
1,Iriartea deltoidea,16.6
1,Pterocarpus rohrii,8.9
1,Xylopia bocatorena,6.4
1,Xylopia bocatorena,6.8
1,Henriettea tuberculosa,9.4
1,Miconia appendiculata,7.1
1,Faramea parvibractea,13
1,Euterpe precatoria,9.1
1,Pentaclethra macroloba,72.2
1,Cassipourea elliptica,21.5
1,Rinorea deflexiflora,6
1,Pouteria reticulata,16.2
1,Rinorea deflexiflora,6.8
1,Capparis pittieri,7.8
1,Minquartia guianensis,16
1,Eschweilera longirachis,5.2
1,Ampelocera macrocarpa,23.2
1,Rinorea deflexiflora,14.2
1,Carapa nicaraguensis,62.9
