plot,sp,dbh
BSP104,Dichapetalum gelonioides,4.456338407
BSP104,Dichapetalum gelonioides,4.774648293
BSP104,Dichapetalum gelonioides,4.774648293
BSP104,Dichapetalum gelonioides,4.774648293
BSP104,Dichapetalum gelonioides,5.092958179
BSP104,Dichapetalum gelonioides,5.092958179
BSP104,Dichapetalum gelonioides,5.411268065
BSP104,Dichapetalum gelonioides,5.411268065
BSP104,Dichapetalum gelonioides,5.729577951
BSP104,Dichapetalum gelonioides,5.729577951
BSP104,Dichapetalum gelonioides,5.729577951
BSP104,Dichapetalum gelonioides,6.366197724
BSP104,Dichapetalum gelonioides,6.366197724
BSP104,Dichapetalum gelonioides,6.366197724
BSP104,Dichapetalum gelonioides,7.002817496
BSP104,Dichapetalum gelonioides,7.639437268
BSP104,Dichapetalum gelonioides,7.957747155
BSP104,Dimocarpus longan,5.411268065
BSP104,Dimocarpus longan,6.366197724
BSP104,Dimocarpus longan,7.002817496
BSP104,Dimocarpus longan,7.957747155
BSP104,Dimocarpus longan,15.91549431
BSP104,Dimocarpus longan,41.3802852
BSP104,Dimorphocalyx lawianus,3.819718634
BSP104,Dimorphocalyx lawianus,5.729577951
BSP104,Dimorphocalyx lawianus,5.729577951
BSP104,Dimorphocalyx lawianus,7.002817496
BSP104,Dimorphocalyx lawianus,7.639437268
BSP104,Dimorphocalyx lawianus,7.957747155
BSP104,Dimorphocalyx lawianus,8.594366927
BSP104,Dimorphocalyx lawianus,8.912676813
BSP104,Dimorphocalyx lawianus,8.912676813
BSP104,Dimorphocalyx lawianus,9.230986699
BSP104,Dimorphocalyx lawianus,9.230986699
BSP104,Dimorphocalyx lawianus,9.549296586
BSP104,Dimorphocalyx lawianus,9.867606472
BSP104,Dimorphocalyx lawianus,10.18591636
BSP104,Dimorphocalyx lawianus,10.50422624
BSP104,Dimorphocalyx lawianus,10.50422624
BSP104,Dimorphocalyx lawianus,10.50422624
BSP104,Dimorphocalyx lawianus,10.82253613
BSP104,Dimorphocalyx lawianus,10.82253613
BSP104,Dimorphocalyx lawianus,10.82253613
BSP104,Dimorphocalyx lawianus,11.14084602
BSP104,Dimorphocalyx lawianus,11.14084602
BSP104,Dimorphocalyx lawianus,11.77746579
BSP104,Dimorphocalyx lawianus,12.09577567
BSP104,Dimorphocalyx lawianus,12.09577567
BSP104,Dimorphocalyx lawianus,12.41408556
BSP104,Dimorphocalyx lawianus,12.41408556
BSP104,Dimorphocalyx lawianus,12.41408556
BSP104,Dimorphocalyx lawianus,12.73239545
BSP104,Dimorphocalyx lawianus,13.05070533
BSP104,Dimorphocalyx lawianus,13.05070533
BSP104,Dimorphocalyx lawianus,13.05070533
BSP104,Dimorphocalyx lawianus,13.05070533
BSP104,Dimorphocalyx lawianus,13.05070533
BSP104,Dimorphocalyx lawianus,13.36901522
BSP104,Dimorphocalyx lawianus,13.36901522
BSP104,Dimorphocalyx lawianus,13.36901522
BSP104,Dimorphocalyx lawianus,13.36901522
BSP104,Dimorphocalyx lawianus,13.68732511
BSP104,Dimorphocalyx lawianus,14.32394488
BSP104,Dimorphocalyx lawianus,14.96056465
BSP104,Dimorphocalyx lawianus,15.91549431
BSP104,Dimorphocalyx lawianus,15.91549431
BSP104,Dimorphocalyx lawianus,16.2338042
BSP104,Dimorphocalyx lawianus,16.55211408
BSP104,Dimorphocalyx lawianus,16.55211408
BSP104,Dimorphocalyx lawianus,16.55211408
BSP104,Dimorphocalyx lawianus,16.55211408
BSP104,Dimorphocalyx lawianus,16.87042397
BSP104,Dimorphocalyx lawianus,17.18873385
BSP104,Dimorphocalyx lawianus,17.18873385
BSP104,Dimorphocalyx lawianus,18.14366351
BSP104,Dimorphocalyx lawianus,18.78028328
BSP104,Dimorphocalyx lawianus,19.09859317
BSP104,Dimorphocalyx lawianus,19.09859317
BSP104,Diospyros candolleana,3.501408748
BSP104,Diospyros candolleana,3.819718634
BSP104,Diospyros candolleana,3.819718634
BSP104,Diospyros candolleana,3.819718634
BSP104,Diospyros candolleana,3.819718634
BSP104,Diospyros candolleana,3.819718634
BSP104,Diospyros candolleana,3.819718634
BSP104,Diospyros candolleana,3.819718634
BSP104,Diospyros candolleana,3.819718634
BSP104,Diospyros candolleana,3.819718634
BSP104,Diospyros candolleana,4.456338407
BSP104,Diospyros candolleana,4.456338407
BSP104,Diospyros candolleana,4.456338407
BSP104,Diospyros candolleana,4.774648293
BSP104,Diospyros candolleana,4.774648293
BSP104,Diospyros candolleana,5.092958179
BSP104,Diospyros candolleana,5.411268065
BSP104,Diospyros candolleana,5.411268065
BSP104,Diospyros candolleana,5.411268065
BSP104,Diospyros candolleana,5.729577951
BSP104,Diospyros candolleana,6.366197724
BSP104,Diospyros candolleana,6.366197724
BSP104,Diospyros candolleana,6.366197724
BSP104,Diospyros candolleana,6.366197724
BSP104,Diospyros candolleana,6.68450761
BSP104,Diospyros candolleana,7.002817496
BSP104,Diospyros candolleana,7.639437268
BSP104,Diospyros candolleana,7.639437268
BSP104,Diospyros candolleana,7.957747155
BSP104,Diospyros candolleana,7.957747155
BSP104,Diospyros candolleana,8.276057041
BSP104,Diospyros candolleana,8.594366927
BSP104,Diospyros candolleana,8.594366927
BSP104,Diospyros candolleana,9.549296586
BSP104,Diospyros candolleana,9.549296586
BSP104,Diospyros candolleana,9.549296586
BSP104,Diospyros candolleana,9.867606472
BSP104,Diospyros candolleana,10.18591636
BSP104,Diospyros candolleana,10.82253613
BSP104,Diospyros candolleana,11.14084602
BSP104,Diospyros candolleana,11.4591559
BSP104,Diospyros candolleana,12.73239545
BSP104,Diospyros candolleana,13.68732511
BSP104,Diospyros candolleana,14.00563499
BSP104,Diospyros candolleana,14.64225476
BSP104,Diospyros candolleana,15.91549431
BSP104,Diospyros candolleana,16.87042397
BSP104,Diospyros candolleana,17.82535363
BSP104,Diospyros candolleana,20.05352283
BSP104,Diospyros candolleana,21.64507226
BSP104,Diospyros montana,33.10422816
BSP104,Diospyros oocarpa,4.456338407
BSP104,Diospyros oocarpa,4.456338407
BSP104,Diospyros oocarpa,4.774648293
BSP104,Diospyros oocarpa,5.092958179
BSP104,Diospyros oocarpa,5.092958179
BSP104,Diospyros oocarpa,5.411268065
BSP104,Diospyros oocarpa,5.411268065
BSP104,Diospyros oocarpa,5.729577951
BSP104,Diospyros oocarpa,6.366197724
BSP104,Diospyros oocarpa,6.366197724
BSP104,Diospyros oocarpa,6.366197724
BSP104,Diospyros oocarpa,6.366197724
BSP104,Diospyros oocarpa,6.68450761
BSP104,Diospyros oocarpa,6.68450761
BSP104,Diospyros oocarpa,6.68450761
BSP104,Diospyros oocarpa,7.002817496
BSP104,Diospyros oocarpa,7.321127382
BSP104,Diospyros oocarpa,7.639437268
BSP104,Diospyros oocarpa,8.276057041
BSP104,Diospyros oocarpa,9.230986699
BSP104,Diospyros oocarpa,9.549296586
BSP104,Diospyros oocarpa,9.549296586
BSP104,Diospyros oocarpa,9.867606472
BSP104,Diospyros oocarpa,14.91647811
BSP104,Diospyros oocarpa,11.4591559
BSP104,Diospyros oocarpa,12.73239545
BSP104,Diospyros oocarpa,12.73239545
